dataset,worker,prototype,weight
CF,275,1,0.35368560200726906
CF,276,0,0.9513512974700711
CF,276,1,0.04864870252992896
CF,279,0,0.947450643636813
CF,279,1,0.05254935636318692
CF,280,0,0.9513513197784123
CF,280,1,0.0486486802215878
CF,282,0,0.9491553481427368
CF,282,1,0.05084465185726319
CF,286,0,0.6992792689307235
CF,286,1,0.3007207310692765
CF,287,0,0.9487686229125718
CF,287,1,0.051231377087428184
CF,289,0,0.9508928682322474
CF,289,1,0.04910713176775253
CF,295,0,0.946546974519417
CF,295,1,0.05345302548058294
CF,298,0,0.951351297469085
CF,298,1,0.04864870253091508
CF,311,0,0.27629040192023313
CF,311,1,0.723709598079767
CF,312,0,0.9393033407965127
CF,312,1,0.060696659203487324
CF,314,0,0.9513513088892582
CF,314,1,0.048648691110741785
CF,316,0,0.9512891089396179
CF,316,1,0.048710891060382074
CF,318,0,0.06896654511142793
CF,318,1,0.931033454888572
CF,319,0,0.9513512974702013
CF,319,1,0.04864870252979865
CF,320,0,0.9462984164710192
CF,320,1,0.05370158352898082
CF,335,0,0.9513512974701935
CF,335,1,0.04864870252980645
CF,337,0,0.9433854059558159
CF,337,1,0.05661459404418411
CF,340,0,0.949430252653535
CF,340,1,0.05056974734646505
CF,349,0,0.7545562084615995
CF,349,1,0.2454437915384004
CF,352,0,0.3985203940703778
CF,352,1,0.6014796059296221
CF,353,0,0.9405451074275479
CF,353,1,0.05945489257245201
CF,354,0,0.9346061021468145
CF,354,1,0.06539389785318553
CF,356,0,0.9246076351886567
CF,356,1,0.07539236481134329
CF,359,0,0.9513513197785111
CF,359,1,0.0486486802214889
CF,360,0,0.6174922209471833
CF,360,1,0.38250777905281674
CF,366,0,0.9464848454577217
CF,366,1,0.05351515454227828
CF,368,0,0.06067408690233843
CF,368,1,0.9393259130976616
CF,374,0,0.947450610687154
CF,374,1,0.05254938931284595
CF,379,0,0.9513107037106773
CF,379,1,0.048689296289322656
CF,387,0,0.9513512974701959
CF,387,1,0.048648702529804126
CF,388,0,0.9430352287026231
CF,388,1,0.056964771297376864
CF,396,0,0.9474505532824766
CF,396,1,0.052549446717523395
CF,404,0,0.9474100384600287
CF,404,1,0.05258996153997131
CF,408,0,0.8800523913030144
CF,408,1,0.1199476086969856
CF,409,0,0.9465793020327445
CF,409,1,0.053420697967255494
CF,415,0,0.3221503395697977
CF,415,1,0.6778496604302023
CF,418,0,0.942342172600656
CF,418,1,0.057657827399344025
CF,420,0,0.5532495047805144
CF,420,1,0.4467504952194857
CF,424,0,0.9380675262260082
CF,424,1,0.06193247377399189
CF,429,0,0.12927461043357372
CF,429,1,0.8707253895664263
CF,432,0,0.056975034610440914
CF,432,1,0.9430249653895592
CF,433,0,0.94817170634931
CF,433,1,0.051828293650689944
CF,449,0,0.9496813097840926
CF,449,1,0.05031869021590739
CF,462,0,0.9513513325849389
CF,462,1,0.04864866741506122
CF,467,0,0.9017184211822185
CF,467,1,0.09828157881778152
CF,469,0,0.951351297470033
CF,469,1,0.048648702529966906
CF,472,0,0.06414437447467043
CF,472,1,0.9358556255253295
CF,476,0,0.9421384505111967
CF,476,1,0.05786154948880329
CF,480,0,0.06414437207051718
CF,480,1,0.9358556279294828
CF,481,0,0.9441131881921035
CF,481,1,0.0558868118078965
CF,501,0,0.9347147054972758
CF,501,1,0.06528529450272433
CF,503,0,0.9401145140706825
CF,503,1,0.05988548592931759
CF,504,0,0.9358218095938003
CF,504,1,0.06417819040619978
CF,509,0,0.9407843386771713
CF,509,1,0.05921566132282887
CF,521,0,0.9358422567365782
CF,521,1,0.06415774326342184
CF,527,0,0.8991493511441223
CF,527,1,0.10085064885587758
CF,534,0,0.9445643451933503
CF,534,1,0.055435654806649824
CF,538,0,0.6662757549829934
CF,538,1,0.33372424501700665
CF,539,0,0.9474506106869609
CF,539,1,0.05254938931303916
CF,560,0,0.9391447600618145
CF,560,1,0.06085523993818561
CF,564,0,0.9466510973760048
CF,564,1,0.0533489026239951
CF,570,0,0.9202241189463278
CF,570,1,0.07977588105367209
CF,573,0,0.9358428234778859
